num_procs,array_size,k,run,time
1,10000000,100,1,0.937948
1,10000000,100,2,0.937492
1,10000000,100,3,0.937086
1,10000000,100,4,0.938462
1,10000000,100,5,0.940962
2,10000000,100,1,0.470137
2,10000000,100,2,0.467055
2,10000000,100,3,0.467315
2,10000000,100,4,0.466731
2,10000000,100,5,0.467586
4,10000000,100,1,0.254509
4,10000000,100,2,0.254610
4,10000000,100,3,0.258178
4,10000000,100,4,0.254380
4,10000000,100,5,0.253017
8,10000000,100,1,0.133545
8,10000000,100,2,0.138810
8,10000000,100,3,0.133242
8,10000000,100,4,0.133905
8,10000000,100,5,0.133094
16,10000000,100,1,0.149805
16,10000000,100,2,0.092008
16,10000000,100,3,0.094004
16,10000000,100,4,0.092098
16,10000000,100,5,0.096224
1,10000000,1000,1,0.928849
1,10000000,1000,2,0.929629
1,10000000,1000,3,0.925662
1,10000000,1000,4,0.924900
1,10000000,1000,5,0.922449
2,10000000,1000,1,0.459781
2,10000000,1000,2,0.460577
2,10000000,1000,3,0.459980
2,10000000,1000,4,0.473943
2,10000000,1000,5,0.458762
4,10000000,1000,1,0.243395
4,10000000,1000,2,0.244015
4,10000000,1000,3,0.241380
4,10000000,1000,4,0.245875
4,10000000,1000,5,0.242717
8,10000000,1000,1,0.131785
8,10000000,1000,2,0.132489
8,10000000,1000,3,0.132731
8,10000000,1000,4,0.132618
8,10000000,1000,5,0.132117
16,10000000,1000,1,0.096033
16,10000000,1000,2,0.091415
16,10000000,1000,3,0.093903
16,10000000,1000,4,0.094519
16,10000000,1000,5,0.095045
1,10000000,10000,1,0.916714
1,10000000,10000,2,0.916311
1,10000000,10000,3,0.916243
1,10000000,10000,4,0.915300
1,10000000,10000,5,0.915466
2,10000000,10000,1,0.456187
2,10000000,10000,2,0.456545
2,10000000,10000,3,0.457115
2,10000000,10000,4,0.455941
2,10000000,10000,5,0.456601
4,10000000,10000,1,0.244864
4,10000000,10000,2,0.241530
4,10000000,10000,3,0.251809
4,10000000,10000,4,0.242754
4,10000000,10000,5,0.243853
8,10000000,10000,1,0.134060
8,10000000,10000,2,0.135666
8,10000000,10000,3,0.135241
8,10000000,10000,4,0.137317
8,10000000,10000,5,0.136004
16,10000000,10000,1,0.104546
16,10000000,10000,2,0.102498
16,10000000,10000,3,0.102622
16,10000000,10000,4,0.101501
16,10000000,10000,5,0.101897
